식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),총당류(g),지방(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),EPA+DHA(g),단백질(g),수분(g),총 식이섬유(g),비타민 A(㎍),비타민 D3(㎍),비타민 E(㎎),비타민 C(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),칼슘(㎎),인(㎎),나트륨(㎎),칼륨(㎎),마그네슘(㎎),철(㎎),철(㎍),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
채소김밥,밥류,김밥(초밥)류,280.0,g,442.09,74.61,0.4,10.23,2.38,0.2,0.04,12.89,178.67,9.62,5198.08,0.0,3.4000000000000004,5.06,0.9,0.2,2.97,53.34,2.94,105.34,192.21,865.01,459.97,43.5,1.24,0.0,2.37,0.21,0.8,23.55
채소볶음밥,밥류,볶음밥류,260.0,g,474.03,74.73,0.76,14.01,4.32,0.39,0.02,12.26,155.26,6.07,584.77,0.0,9.629999999999999,1.98,0.1,0.16,0.0,53.66,0.9,44.24,157.38,1060.34,406.74,33.64,1.1,0.0,3.76,0.25,0.76,18.58
치즈김밥,밥류,김밥(초밥)류,270.0,g,476.98,59.67,0.57,18.99,4.17,0.2,0.04,16.86,170.91,7.07,1473.52,0.0,2.38,5.81,0.96,0.2,0.0,59.76,1.69,17.1,41.56,455.54,110.48,14.46,0.58,0.0,1.2,0.17,0.64,28.02
카레라이스,밥류,덮밥류,480.0,g,518.4,99.53,0.78,6.73,1.65,0.01,0.01,14.94,354.91,2.62,742.31,0.0,4.65,15.17,0.55,0.08,1.04,32.07,0.0,55.93,167.76,1007.05,439.05,36.0,1.44,0.0,3.56,0.17,0.42,21.96
콩나물국밥,밥류,기타 밥류,780.0,g,403.26,85.22,0.0,1.89,1.93,0.16,0.0,11.34,677.16,9.21,167.92,0.0,2.8899999999999997,9.79,1.09,0.17,1.35,41.13,0.0,50.3,122.11,1339.02,324.8,42.52,1.44,0.0,2.82,0.15,0.87,17.47
콩나물밥,밥류,기타 밥류,320.0,g,392.17,71.66,0.12,5.07,1.72,0.08,0.0,14.98,224.19,6.18,159.03,0.0,3.92,0.0,0.19,0.15,3.26,19.79,0.0,49.8,400.15,868.99,770.31,66.9,1.67,0.0,3.23,0.19,0.51,41.5
팥밥,밥류,쌀밥.잡곡밥류,200.0,g,286.0,64.51,0.0,0.19,0.22,0.02,0.0,6.56,128.19,5.18,0.0,0.0,1.7599999999999998,52.9,0.09,0.03,1.63,17.26,0.0,14.25,100.42,7.12,166.12,29.27,0.67,0.0,1.41,0.15,0.83,0.67
표고버섯볶음밥,밥류,볶음밥류,300.0,g,551.73,95.37,0.0,14.43,4.29,0.48,0.0,10.09,176.73,7.73,0.0,0.0,10.139999999999999,0.0,0.12,0.13,0.25,20.94,0.0,14.12,117.44,896.57,499.51,26.78,0.89,0.0,2.22,0.34,1.15,11.28
하이라이스,밥류,덮밥류,360.0,g,401.93,76.84,0.0,4.08,0.04,0.0,0.31,14.47,261.6,3.14,248.17,0.0,3.18,3.6,0.0,0.04,0.35,17.1,0.0,36.69,130.07,884.09,277.46,25.56,0.24,0.0,3.86,0.16,0.71,20.29
현미밥,밥류,쌀밥.잡곡밥류,230.0,g,396.31,89.48,0.0,1.09,0.48,0.02,0.0,7.14,131.63,4.63,0.0,0.0,1.8399999999999999,1.85,0.17,0.03,1.4,40.47,0.0,11.41,130.53,4.8,93.59,48.24,0.49,0.0,1.99,0.3,1.21,3.12
